Answer,Difficulty,QuestionId,QuestionText,TopicId,Type
"Ihan vitusti, Atomi pt 0!",1,1_0,Atomi on...,1,flashcard
"Ihan vitusti, Atomi pt 1!",2,1_1,Atomi ei ole...,1,flashcard
"Ihan vitusti, Atomi pt 2!",3,1_2,Atomi kaltainen on,1,flashcard
"Ihan vitusti, Atomi pt 3!",4,1_3,Paljonko Atomi painaa?,1,OpenEnded
"Ihan vitusti, Atomi pt 4!",5,1_4,Montako Atomi saa markalla?,1,OpenEnded
"Ihan vitusti, Jaksollinen järjestelmä pt 0!",1,2_0,Jaksollinen järjestelmä on...,2,flashcard
"Ihan vitusti, Jaksollinen järjestelmä pt 1!",2,2_1,Jaksollinen järjestelmä ei ole...,2,flashcard
"Ihan vitusti, Jaksollinen järjestelmä pt 2!",3,2_2,Jaksollinen järjestelmä kaltainen on,2,flashcard
"Ihan vitusti, Jaksollinen järjestelmä pt 3!",4,2_3,Paljonko Jaksollinen järjestelmä painaa?,2,OpenEnded
"Ihan vitusti, Jaksollinen järjestelmä pt 4!",5,2_4,Montako Jaksollinen järjestelmä saa markalla?,2,OpenEnded
"Ihan vitusti, Ionisidos pt 0!",1,3_0,Ionisidos on...,3,flashcard
"Ihan vitusti, Ionisidos pt 1!",2,3_1,Ionisidos ei ole...,3,flashcard
"Ihan vitusti, Ionisidos pt 2!",3,3_2,Ionisidos kaltainen on,3,flashcard
"Ihan vitusti, Ionisidos pt 3!",4,3_3,Paljonko Ionisidos painaa?,3,OpenEnded
"Ihan vitusti, Ionisidos pt 4!",5,3_4,Montako Ionisidos saa markalla?,3,OpenEnded
"Ihan vitusti, Kovalenttinen sidos pt 0!",1,4_0,Kovalenttinen sidos on...,4,flashcard
"Ihan vitusti, Kovalenttinen sidos pt 1!",2,4_1,Kovalenttinen sidos ei ole...,4,flashcard
"Ihan vitusti, Kovalenttinen sidos pt 2!",3,4_2,Kovalenttinen sidos kaltainen on,4,flashcard
"Ihan vitusti, Kovalenttinen sidos pt 3!",4,4_3,Paljonko Kovalenttinen sidos painaa?,4,OpenEnded
"Ihan vitusti, Kovalenttinen sidos pt 4!",5,4_4,Montako Kovalenttinen sidos saa markalla?,4,OpenEnded
"Ihan vitusti, Metallisidos pt 0!",1,5_0,Metallisidos on...,5,flashcard
"Ihan vitusti, Metallisidos pt 1!",2,5_1,Metallisidos ei ole...,5,flashcard
"Ihan vitusti, Metallisidos pt 2!",3,5_2,Metallisidos kaltainen on,5,flashcard
"Ihan vitusti, Metallisidos pt 3!",4,5_3,Paljonko Metallisidos painaa?,5,OpenEnded
"Ihan vitusti, Metallisidos pt 4!",5,5_4,Montako Metallisidos saa markalla?,5,OpenEnded
"Ihan vitusti, Elektronegatiivisuus pt 0!",1,6_0,Elektronegatiivisuus on...,6,flashcard
"Ihan vitusti, Elektronegatiivisuus pt 1!",2,6_1,Elektronegatiivisuus ei ole...,6,flashcard
"Ihan vitusti, Elektronegatiivisuus pt 2!",3,6_2,Elektronegatiivisuus kaltainen on,6,flashcard
"Ihan vitusti, Elektronegatiivisuus pt 3!",4,6_3,Paljonko Elektronegatiivisuus painaa?,6,OpenEnded
"Ihan vitusti, Elektronegatiivisuus pt 4!",5,6_4,Montako Elektronegatiivisuus saa markalla?,6,OpenEnded
"Ihan vitusti, Elektronegatiivisuusarvot pt 0!",1,7_0,Elektronegatiivisuusarvot on...,7,flashcard
"Ihan vitusti, Elektronegatiivisuusarvot pt 1!",2,7_1,Elektronegatiivisuusarvot ei ole...,7,flashcard
"Ihan vitusti, Elektronegatiivisuusarvot pt 2!",3,7_2,Elektronegatiivisuusarvot kaltainen on,7,flashcard
"Ihan vitusti, Elektronegatiivisuusarvot pt 3!",4,7_3,Paljonko Elektronegatiivisuusarvot painaa?,7,OpenEnded
"Ihan vitusti, Elektronegatiivisuusarvot pt 4!",5,7_4,Montako Elektronegatiivisuusarvot saa markalla?,7,OpenEnded
"Ihan vitusti, Poolisuus pt 0!",1,8_0,Poolisuus on...,8,flashcard
"Ihan vitusti, Poolisuus pt 1!",2,8_1,Poolisuus ei ole...,8,flashcard
"Ihan vitusti, Poolisuus pt 2!",3,8_2,Poolisuus kaltainen on,8,flashcard
"Ihan vitusti, Poolisuus pt 3!",4,8_3,Paljonko Poolisuus painaa?,8,OpenEnded
"Ihan vitusti, Poolisuus pt 4!",5,8_4,Montako Poolisuus saa markalla?,8,OpenEnded
"Ihan vitusti, Heikot sidokset pt 0!",1,9_0,Heikot sidokset on...,9,flashcard
"Ihan vitusti, Heikot sidokset pt 1!",2,9_1,Heikot sidokset ei ole...,9,flashcard
"Ihan vitusti, Heikot sidokset pt 2!",3,9_2,Heikot sidokset kaltainen on,9,flashcard
"Ihan vitusti, Heikot sidokset pt 3!",4,9_3,Paljonko Heikot sidokset painaa?,9,OpenEnded
"Ihan vitusti, Heikot sidokset pt 4!",5,9_4,Montako Heikot sidokset saa markalla?,9,OpenEnded
"Ihan vitusti, Dispersiovoima pt 0!",1,10_0,Dispersiovoima on...,10,flashcard
"Ihan vitusti, Dispersiovoima pt 1!",2,10_1,Dispersiovoima ei ole...,10,flashcard
"Ihan vitusti, Dispersiovoima pt 2!",3,10_2,Dispersiovoima kaltainen on,10,flashcard
"Ihan vitusti, Dispersiovoima pt 3!",4,10_3,Paljonko Dispersiovoima painaa?,10,OpenEnded
"Ihan vitusti, Dispersiovoima pt 4!",5,10_4,Montako Dispersiovoima saa markalla?,10,OpenEnded
"Ihan vitusti, Liukoisuus pt 0!",1,11_0,Liukoisuus on...,11,flashcard
"Ihan vitusti, Liukoisuus pt 1!",2,11_1,Liukoisuus ei ole...,11,flashcard
"Ihan vitusti, Liukoisuus pt 2!",3,11_2,Liukoisuus kaltainen on,11,flashcard
"Ihan vitusti, Liukoisuus pt 3!",4,11_3,Paljonko Liukoisuus painaa?,11,OpenEnded
"Ihan vitusti, Liukoisuus pt 4!",5,11_4,Montako Liukoisuus saa markalla?,11,OpenEnded
"Ihan vitusti, Atomimassa pt 0!",1,12_0,Atomimassa on...,12,flashcard
"Ihan vitusti, Atomimassa pt 1!",2,12_1,Atomimassa ei ole...,12,flashcard
"Ihan vitusti, Atomimassa pt 2!",3,12_2,Atomimassa kaltainen on,12,flashcard
"Ihan vitusti, Atomimassa pt 3!",4,12_3,Paljonko Atomimassa painaa?,12,OpenEnded
"Ihan vitusti, Atomimassa pt 4!",5,12_4,Montako Atomimassa saa markalla?,12,OpenEnded
